Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,Woman's Head,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,art forgery,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Amedeo Modigliani,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,erroneous provenance (artwork),erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,Edward Speelman,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,Edward Speelman,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,inquiry,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,inquiry,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,Nazi plunder,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,Nazi plunder,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,The Oyster Meal,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,The Oyster Meal,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,J. H. Smidt van Gelder,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,J. H. Smidt van Gelder,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,"Harold Samuel, Baron Samuel of Wych Cross",erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,"Harold Samuel, Baron Samuel of Wych Cross",erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,restitution of Nazi-looted art,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,news article,Event,The Times,restitution of Nazi-looted art,erroneous provenance (artwork),,
https://www.lootedartcommission.com/SQ8EC033952,Painting looted by Nazis found on Lord Mayor of London’s wall,2017-11-06T00:00:00Z,work,Event,The Times,erroneous provenance (artwork),erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,Metropolitan Museum of Art,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,looted art,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,arrest,erroneous provenance (artwork),,
https://www.lrb.co.uk/the-paper/v45/n19/azadeh-moaveni/the-ostrich-defence,The Ostrich Defence: Trafficking Antiquities,2023-10-05T00:00:00Z,news article,Event,London Review of Books,erroneous provenance (artwork),erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,extradition,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,Serop Simonian,erroneous provenance (artwork),,
https://news.artnet.com/art-world-archives/an-art-dealer-who-allegedly-headed-a-trafficking-ring-that-sold-egyptian-antiquities-to-the-louvre-and-the-met-has-been-arrested-2388183,An Art Dealer Who Allegedly Headed a Trafficking Ring That Sold Egyptian Antiquities to the Louvre and the Met Has Been Arrested,2023-11-01T00:00:00Z,news article,Event,Artnet News,erroneous provenance (artwork),erroneous provenance (artwork),,
