creator,creatorLabel,creatorDescription,imagecreator
http://www.wikidata.org/entity/Q2501578,Michele Marieschi,Venetian painter of landscapes and vedute,http://commons.wikimedia.org/wiki/Special:FilePath/Titelprent%20met%20portret%20van%20Michele%20Marieschi%20in%20ornamenteel%20cartouche%20Gezichten%20op%20Veneti%C3%AB%20%28serietitel%29%20Magnificentiores%20selectioresque%20urbis%20Venetiarum%20prospectus%20%28serietitel%20op%20object%29%2C%20RP-P-OB-39.106%20%28crop1%29.jpg
http://www.wikidata.org/entity/Q28738647,Ludwig Hartmann,German horse painter (1835-1902),
http://www.wikidata.org/entity/Q20891029,Wilhelm Velten,Russian-German painter,
http://www.wikidata.org/entity/Q21289121,Hugo Kotschenreiter,German painter and illustrator (1854-1908),
http://www.wikidata.org/entity/Q363504,Adolf Oberländer,German caricaturist (1845-1923),http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Oberl%C3%A4nder%20Lindner.jpg
http://www.wikidata.org/entity/Q210201,Fritz von Uhde,German artist (1848–1911),http://commons.wikimedia.org/wiki/Special:FilePath/Fritz-Uhde-1880er.jpg
http://www.wikidata.org/entity/Q1079595,Christian Friedrich Gille,German painter (1805-1899),
http://www.wikidata.org/entity/Q715036,Eugene de Blaas,Italian painter (1843-1931),http://commons.wikimedia.org/wiki/Special:FilePath/Eugen%20von%20Blaas-autoritratto.jpg
http://www.wikidata.org/entity/Q5526554,Gaspar Peeter Verbruggen the Younger,Flemish still-life painter (1664-1730),
http://www.wikidata.org/entity/Q807808,Willem Jacobsz Delff,painter from the Northern Netherlands (1580–1638),http://commons.wikimedia.org/wiki/Special:FilePath/Portretten%20van%20Michiel%20Jansz.%20van%20Mierevelt%2C%20een%20niet%20ge%C3%AFdentificeerd%20persoon%20en%20Willem%20Jacobsz.%20Delff%2C%20RP-P-1907-4279.jpg
http://www.wikidata.org/entity/Q2339054,Claes Dirksz van der Heck,Dutch Golden Age (1595-1649),
http://www.wikidata.org/entity/Q16534240,August Friedrich Schenk,German painter,http://commons.wikimedia.org/wiki/Special:FilePath/Schenck.portrait.gallerie.jpg
http://www.wikidata.org/entity/Q43132783,Karl Hermann Krabbes,German artist,
http://www.wikidata.org/entity/Q37513172,Georg Dehn,"German painter, 1843-1904",
http://www.wikidata.org/entity/Q871502,Hans Bohrdt,German painter (1857-1945),http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Bohrdt.jpg
http://www.wikidata.org/entity/Q2221664,Richard Roland Holst,"Dutch writer, artist, performance artist and painter (1868–1938)",http://commons.wikimedia.org/wiki/Special:FilePath/RRolandHolst.jpg
http://www.wikidata.org/entity/Q1079809,Christian Georg Schütz,German painter and engraver (1718-1791),http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Ulrich%20Schnetzler%20-%20Bildnis%20des%20Malers%20Christian%20Georg%20Sch%C3%BCtz%20%28ca.1761%29.jpg
