item;itemLabel;itemDescription;status;altNames;GND;Proveana;VIAF;LCCN;RunDate
http://www.wikidata.org/entity/Q806781;Arnhold and S. Bleichroeder;German private bank;Holocaust Aryanization or art restitution case link;Arnhold & S. Bleichroeder;;;;;25-janv-24
http://www.wikidata.org/entity/Q61055;Arno Breker;German sculptor and architect (1900–1991);ALIU Red Flag;;118514938;;1,96316E+21;n81108368;25-janv-24
http://www.wikidata.org/entity/Q61055;Arno Breker;German sculptor and architect (1900–1991);ALIU Red Flag;;118514938;;3,29616E+21;n81108368;25-janv-24
http://www.wikidata.org/entity/Q61055;Arno Breker;German sculptor and architect (1900–1991);ALIU Red Flag;;118514938;;56583257;n81108368;25-janv-24
http://www.wikidata.org/entity/Q125938280;Arnold Kolb;Hungarian art collector and Holocaust victim (1875-1945);Holocaust victim;Arnold Herbert Kolb;;;;;25-janv-24
http://www.wikidata.org/entity/Q131481522;Arthur Cohnreich;German Jewish art collector (1882-1952);Holocaust Aryanization or art restitution case link;;;;;;25-janv-24
http://www.wikidata.org/entity/Q94629130;Arthur de Heuvel;Dutch art dealer (1887-;ALIU Red Flag;Arthur de Heuval;;;55410630;n78082631;25-janv-24
http://www.wikidata.org/entity/Q63074029;Arthur Feldmann;art collector and lawyer (1877-1941), arrested and tortured by the Gestapo;Holocaust victim;Dr. Arthur Feldmann;130175404;;74952730;no2015171368;25-janv-24
http://www.wikidata.org/entity/Q94979681;Arthur Goldschmidt;art dealer;;;;;;;
http://www.wikidata.org/entity/Q125111678;Arthur Menke;German Jewish businessman and art collector (1877-  1944);Holocaust Aryanization or art restitution case link;Arthur R. Menke, Artur Menke;;;;;25-janv-24
http://www.wikidata.org/entity/Q60523377;Arthur Pfannstiel;translator of Hitler and Celine, art dealer, writer;ALIU Red Flag;A. Pfannstiel, Arthur S. Pfannstiel;;;4111243;n91066237;25-janv-24
http://www.wikidata.org/entity/Q123312781;Arthur Veil-Picard;French businessman and art collector (1854-1944);Holocaust Aryanization or art restitution case link;Arthur Georges Veil-Picard;;;;;25-janv-24
http://www.wikidata.org/entity/Q118274915;Arturo Grassi;Italian art dealer;Holocaust Aryanization or art restitution case link;;;;;;25-janv-24
http://www.wikidata.org/entity/Q123054833;Arturo Linares;Spanish art dealer;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q47490393;Aryanization of the Wildenstein Gallery;Aryanization event in France;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q636400;Ashmolean Museum;museum in Oxford, England, UK;Holocaust Aryanization or art restitution case link;Ashmolean Museum of Art & Archaeology, Ashmolean Museum of Art and Archaeology, Ashmolean Museum of Art and Archeology;1007560-4;;141569308;n81139884;25-janv-24
http://www.wikidata.org/entity/Q117841581;Au Vieux Paris;Paris art dealership;ALIU Red Flag;Bonnefoy et Cie.;;;;;25-janv-24
http://www.wikidata.org/entity/Q759253;Auergesellschaft;German company;Holocaust Aryanization or art restitution case link;MSA, DGA, Deutsche Gasglühlicht AG;2005156-6;;122628682;;25-janv-24
http://www.wikidata.org/entity/Q78656;August Eigruber;Austrian Nazi politician, Gauleiter of Oberdonau and Landeshauptmann of Upper Austria (1907-1947);ALIU Red Flag;;127548963;;33023493;n2003089252;25-janv-24
http://www.wikidata.org/entity/Q762671;August Lederer;Austrian entrepreneur, collector and patronage (1857-1936);Holocaust Aryanization or art restitution case link;;;;293649838;;25-janv-24
http://www.wikidata.org/entity/Q762753;August Liebmann Mayer;German Jewish art historian (1885-1944), murdered in the Holocaust;Holocaust victim;A. L. Mayer, August L. Mayer;117542563;;102317582;nr88011775;25-janv-24
http://www.wikidata.org/entity/Q108541809;Auktionshaus Max Perl;German auction house;Holocaust Aryanization or art restitution case link;Max Perl Auction house;;act10003918;;;25-janv-24
http://www.wikidata.org/entity/Q108541809;Auktionshaus Max Perl;German auction house;Holocaust Aryanization or art restitution case link;Max Perl Auction house;;evt10000424;;;25-janv-24
http://www.wikidata.org/entity/Q29587290;Bachstitz Gallery;defunct art gallery in the Hague, Netherlands, with affiliate in Berlin;Holocaust Aryanization or art restitution case link;Kunsthandel Kurt Bachstitz Gallery;;;;;25-janv-24
http://www.wikidata.org/entity/Q806759;Bankhaus Gebrüder Arnhold;German Bank;Holocaust Aryanization or art restitution case link;;211589-X;;;;25-janv-24
http://www.wikidata.org/entity/Q89702795;Bankhaus Petschek & Co;Czechoslovak bank;Holocaust Aryanization or art restitution case link;Petschek Brothers Bank;;act00000451;;;25-janv-24
http://www.wikidata.org/entity/Q123050507;Baquera Kusche y Martin;Spanish customs agents and shippers active in WWII;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q74696086;Baron von Poellnitz;Luftwaffe officer involved in WWII art market;ALIU Red Flag;Baron Gerhard von Pölnitz, Baron von Pollnitz, Baron von Poulnitz, Gerhard Freiherr von Pölnitz, Gerhard von Pölnitz, von Poellnitz, von pöllnitz;;;;;25-janv-24
http://www.wikidata.org/entity/Q33119180;Basil & Elise Goulandris Foundation Museum, Athens;museum in Pangrati, Athens, Greece;Holocaust Aryanization or art restitution case link;Goulandris Museum, Goulandris Museum of Contemporary Art, Athens, Goulandris Museum of Modern Art, Athens;;;;;25-janv-24
http://www.wikidata.org/entity/Q812285;Bavarian State Painting Collections;artworks held by the Free State of Bavaria for Alte Pinakothek, Aschaffenburg, Bamberg, Bayreuth, Schleissheim and others;Holocaust Aryanization or art restitution case link;Bayerische Staatsgemäldesammlungen, BStGS, Centralgemäldegaleriedirektion;2005380-0;;149456767;n50061232;25-janv-24
http://www.wikidata.org/entity/Q1117554;Béatrice Reinach de Camondo;French Jewish woman of the Camondo family murdered at Auschwitz;Holocaust victim;Beatrice Reinach, Louise Béatrice Reinach (de Camondo);;;;;25-janv-24
http://www.wikidata.org/entity/Q817926;Benno Geiger;Austrian art historian, art dealer, author and translator, Nazi (1882-1965);ALIU Red Flag;Dr. Benno Geiger;119368412;;47569973;nr95002277;25-janv-24
http://www.wikidata.org/entity/Q28842706;Bernard Houthakker;Dutch art dealer (1884-1963);Holocaust Aryanization or art restitution case link;Houthakker;1124701192;;236671647;no2019127477;25-janv-24
http://www.wikidata.org/entity/Q28842706;Bernard Houthakker;Dutch art dealer (1884-1963);Holocaust Aryanization or art restitution case link;Houthakker;1124701192;;3,75515E+21;no2019127477;25-janv-24
http://www.wikidata.org/entity/Q113541338;Bernard Poissonnier;French art dealer (1898–ca. 2000);ALIU Red Flag;;;;3,39915E+21;;25-janv-24
http://www.wikidata.org/entity/Q47309827;Bernard Rademacher;German art dealer involved in looting;ALIU Red Flag;Dr. Bernard Rademacher;;;;;25-janv-24
http://www.wikidata.org/entity/Q824677;Bernhard A. Böhmer;German art dealer used by the Third Reich, sculptor and painter (1892-1945);ALIU Red Flag;Bernard Aloysius Böhmer, Bernhard Boehmer;142799815;act10000046;159992603;no2010188997;25-janv-24
http://www.wikidata.org/entity/Q15455396;Bernhard Degenhart;art historian, museum director and ERR member (Nazi looting organisation) 1907-1999;ALIU Red Flag;Degenhart, Dr Bernard;121851591;;34468505;n81013602;25-janv-24
http://www.wikidata.org/entity/Q94839745;Bernhard Koehler;German art collector (1882-1964) son of collector by the same name;Holocaust Aryanization or art restitution case link;Bernhard Koehler (Jr), Bernhard Koehler Jr;174356463;act20000700;216494718;;25-janv-24
http://www.wikidata.org/entity/Q825450;Bernhard Koehler;German art collector (1849-1927);Holocaust Aryanization or art restitution case link;Bernhard Köhler;121452735;;305409311;;25-janv-24
http://www.wikidata.org/entity/Q826482;Bernheim-Jeune;French art gallery and publisher Aryanized under the Nazis;ALIU Red Flag;Bernheim-Jeune Art Gallery, Galerie Bernheim-Jeune;10063933-1;;139405632;n86021759;25-janv-24
http://www.wikidata.org/entity/Q826482;Bernheim-Jeune;French art gallery and publisher Aryanized under the Nazis;ALIU Red Flag;Bernheim-Jeune Art Gallery, Galerie Bernheim-Jeune;10063933-1;;139405632;nr88006562;25-janv-24
http://www.wikidata.org/entity/Q826482;Bernheim-Jeune;French art gallery and publisher Aryanized under the Nazis;ALIU Red Flag;Bernheim-Jeune Art Gallery, Galerie Bernheim-Jeune;10063933-1;;156694905;n86021759;25-janv-24
http://www.wikidata.org/entity/Q826482;Bernheim-Jeune;French art gallery and publisher Aryanized under the Nazis;ALIU Red Flag;Bernheim-Jeune Art Gallery, Galerie Bernheim-Jeune;10063933-1;;156694905;nr88006562;25-janv-24
http://www.wikidata.org/entity/Q123746148;Berthold Nothmann;German Jewish art collector (1865–1942);Holocaust Aryanization or art restitution case link;;;;308209653;;25-janv-24
http://www.wikidata.org/entity/Q673833;Beyeler Foundation;museum collection in Riehen in the canton of Basel-Stadt, Switzerland;Holocaust Aryanization or art restitution case link;Collection, Beyeler-Museum, Fondation Beyeler, Stiftung Beyeler;2165822-5;;121803365;nr98002358;25-janv-24
http://www.wikidata.org/entity/Q15619234;Bignou Gallery;American art gallery owned by Etienne Bignou;ALIU Red Flag;Etienne Bignou Gallery;;;147029910;nr96018100;25-janv-24
http://www.wikidata.org/entity/Q892727;Bonnefanten Museum;museum in Maastricht;Holocaust Aryanization or art restitution case link;Bonnefantenmuseum, Maastricht Bonnefantenmuseum, Stichting Provinciaal Museum Limburg, Het Bonnefanten;2086178-3;;125231446;n79064671;25-janv-24
http://www.wikidata.org/entity/Q796906;Brabag;German coal and benzin company;Holocaust Aryanization or art restitution case link;Braunkohlen-und Benzin AG;10369102-9;;127713130;;25-janv-24
http://www.wikidata.org/entity/Q6373;British Museum;national museum in London, United Kingdom;Holocaust Aryanization or art restitution case link;BM, the British Museum;38379-X;;134857252;n79107735;25-janv-24
http://www.wikidata.org/entity/Q568767;Bröhan Museum;museum of art and design in Berlin;Holocaust Aryanization or art restitution case link;;2128038-1;act10004122;132026004;n88132447;25-janv-24
http://www.wikidata.org/entity/Q833759;Brücke Museum;museum in Berlin, Germany;Holocaust Aryanization or art restitution case link;;2006007-5;act10004403;129694437;n79060020;25-janv-24
http://www.wikidata.org/entity/Q89582;Bruno Lohse;German Nazi art dealer, chief art looter in Paris for Hermann Göring, ERR;ALIU Red Flag;;129964174;act20000096;55241300;n2009026574;25-janv-24
http://www.wikidata.org/entity/Q95146375;Bruno Spiro;German Jewish art collector deported by the Nazis (1875-1936);Holocaust Aryanization or art restitution case link;;1036288889;;304724837;;25-janv-24
http://www.wikidata.org/entity/Q27450220;Buchholz Gallery;German and American art gallery;Holocaust Aryanization or art restitution case link;Curt Valentin Gallery, Karl Buchholz Gallery;;;150950102;n87916383;25-janv-24
http://www.wikidata.org/entity/Q121093969;Bunzl & Biach AG;business;Holocaust Aryanization or art restitution case link;;10025257-6;;159205751;;25-janv-24
http://www.wikidata.org/entity/Q1016909;Burrell Collection;art museum in Glasgow, Scotland, United Kingdom;Holocaust Aryanization or art restitution case link;;;;131071111;n90617061;25-janv-24
http://www.wikidata.org/entity/Q119242638;Carl Adler;Karl Adler, art collector and director of Europe’s largest leather manufacturer Adler & Oppenheimer  (1872-1957);Holocaust Aryanization or art restitution case link;Carlos Marco, Karl Adler, Carl Marcus Adler;;;;;25-janv-24
http://www.wikidata.org/entity/Q26268347;Carl Hagen;German Jewish banker and collector (1856-1938);Holocaust Aryanization or art restitution case link;Carl Hagen (Levy);;;;;25-janv-24
http://www.wikidata.org/entity/Q1037482;Carl Hermann Kaulfuss-Diesch;German librarian (1880-1957);ALIU Red Flag;Carl Diesch, Karl Diesch;100825656;;61661619;n90666983;25-janv-24
http://www.wikidata.org/entity/Q1037482;Carl Hermann Kaulfuss-Diesch;German librarian (1880-1957);ALIU Red Flag;Carl Diesch, Karl Diesch;100825656;;61661619;n85166258;25-janv-24
http://www.wikidata.org/entity/Q1039808;Carl Montag;Swiss and French painter and art dealer (1880-1956);ALIU Red Flag;Charles Montag;1020052600;;1,41146E+20;nr94041773;25-janv-24
http://www.wikidata.org/entity/Q1039808;Carl Montag;Swiss and French painter and art dealer (1880-1956);ALIU Red Flag;Charles Montag;1020052600;;1,41146E+20;n94041773;25-janv-24
http://www.wikidata.org/entity/Q94867126;Carl Sachs;German Jewish businessman and art collector (1858-1943);Holocaust Aryanization or art restitution case link;;133441415;;57802642;;25-janv-24
http://www.wikidata.org/entity/Q17278554;Carl Schellenberg;German art historian (1898-1968);ALIU Red Flag;Dr. Karl Schellenberg;101510802;act10001012;42209044;;25-janv-24
http://www.wikidata.org/entity/Q35269258;Carlo Jahn;German art dealer, Nazi;ALIU Red Flag;Jahn Carlos, Carlos Jahn;;;;;25-janv-24
http://www.wikidata.org/entity/Q95147110;Carlota Landsberg;German Jewish art collector and refugee (1889-1984);Holocaust Aryanization or art restitution case link;Carlota Amalia Landsberg, Carlotta Landsberg;;;;;25-janv-24
http://www.wikidata.org/entity/Q16855618;César Mange de Hauke;art dealer and historian;ALIU Red Flag;César de Hauke, César M. de Hauke, Cesar Mange de Haucke, Cesar Monge de Haucke, de Haucke;1145708285;;291027579;nr2003021118;25-janv-24
http://www.wikidata.org/entity/Q455857;Chana Orloff;Ukrainian-born French and Israeli sculptor (1888–1968);Holocaust Aryanization or art restitution case link;Chana Orlova, Chana Orlowa, Khana Orlova, Orlova Khanna, Tsare-Constantinowka, Tsaré-Constantinowka;129482110;;37999521;nr92027005;25-janv-24
http://www.wikidata.org/entity/Q123054632;Charles Koninckx;Belgian;ALIU Red Flag;Charles Georges Koninckx;;;;;25-janv-24
http://www.wikidata.org/entity/Q99452326;Charlotte von Mendelssohn-Bartholdy;German Jewish art collector (1877-1946);Holocaust Aryanization or art restitution case link;Charlotte Reichenheim, Lotte von Mendelssohn-Bartholdy, Lotte Gräfin von Wesdehlen;1149706724;;57377975;;25-janv-24
http://www.wikidata.org/entity/Q503176;Christie's;art business and fine arts auction house;Holocaust Aryanization or art restitution case link;Christie Manson & Woods;;;152888287;no95020474;25-janv-24
http://www.wikidata.org/entity/Q503176;Christie's;art business and fine arts auction house;Holocaust Aryanization or art restitution case link;Christie Manson & Woods;;;143640357;no95020474;25-janv-24
http://www.wikidata.org/entity/Q19822490;Christoph Bernoulli;Swiss art dealer and art historian (1897-1981);ALIU Red Flag;Carl Christoph Friedrich Bernoulli;118509934;act10001424;100387862;nr2002045022;25-janv-24
http://www.wikidata.org/entity/Q125230580;Clara Levy née Isaak;German Jewish manufacturer and art collector  plundered by Nazis (1864–1940);Holocaust Aryanization or art restitution case link;Clara Levy;;;;;25-janv-24
http://www.wikidata.org/entity/Q19145996;Conrad Benjamin;German Jewish historian, teacher and art collector (1869-1940);Holocaust Aryanization or art restitution case link;;107608575X;;317079912;;25-janv-24
http://www.wikidata.org/entity/Q15143412;Cornelius Gurlitt;son of Hitler's art dealer Hildebrand Gurlitt, German art collector (1932-2014);Holocaust Aryanization or art restitution case link;Rolf Nikolaus Cornelius Gurlitt;104425453X;;305351135;no2014103401;25-janv-24
http://www.wikidata.org/entity/Q47311897;Count Alexander von Frey;art dealer active in Switzerand;ALIU Red Flag;Alexander von Frey, A. G. von Frey;;;;;25-janv-24
